task_id,question,level,clusters,referred,referred_question
1274,"For credit transactions, what would be the average fee that the card scheme NexPay would charge for a transaction value of 10 EUR?",hard,[1273],[1273],"For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR?"
1763,What were the applicable Fee IDs for Crossfit_Hanna in January 2023?,hard,"[1753, 1681]","[1753, 1681]","What are the applicable fee IDs for Belles_cookbook_store in March 2023? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
973,What is the average transaction value grouped by aci for Belles_cookbook_store's SwiftCharge transactions between January and February 2023?,hard,"[1681, 1753, 2697]","[1681, 1753, 2697]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023? || For Belles_cookbook_store in January, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?"
1748,What are the total fees (in euros) that Golfclub_Baron_Friso paid in 2023?,hard,"[1681, 1753, 1871]","[1681, 1753, 1871]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023? || In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?"
1507,"In the average scenario, which card scheme would provide the cheapest fee for a transaction value of 50 EUR?",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
1427,"For account type H and the MCC description: Taxicabs and Limousines, what would be the average fee that the card scheme SwiftCharge would charge for a transaction value of 1234 EUR? Provide the answer in EUR and 6 decimals",hard,[1305],[1305],"For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
2746,"For Rafa_AI in October, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?",hard,[2697],[2697],"For Belles_cookbook_store in January, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?"
64,What are the possible values for the field aci?,easy,[5],[5],Which issuing country has the highest number of transactions?
1861,What are the total fees (in euros) that Rafa_AI paid in March 2023?,hard,[1753],[1753],What are the applicable fee IDs for Belles_cookbook_store in March 2023?
1511,"In the average scenario, which card scheme would provide the cheapest fee for a transaction value of 500 EUR?",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
2529,"Imagine the merchant Belles_cookbook_store had changed its MCC code to 5411 before 2023 started, what amount delta will it have to pay in fees for the year 2023?",hard,"[1681, 1753, 1871]","[1681, 1753, 1871]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023? || In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?"
2520,In the year 2023 what delta would Rafa_AI pay if the relative fee of the fee with ID=276 changed to 99?,hard,[1871],[1871],In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?
1502,What is the fee ID or IDs that apply to account_type = O and aci = E?,hard,[1464],[1464],What is the fee ID or IDs that apply to account_type = R and aci = B?
6,What percentage of the transactions are made using credit cards?,easy,[5],[5],Which issuing country has the highest number of transactions?
2566,"During 2023, imagine if the Fee with ID 17 was only applied to account type D, which merchants would have been affected by this change?",hard,"[1464, 1681, 1753]","[1464, 1681, 1753]","What is the fee ID or IDs that apply to account_type = R and aci = B? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
1829,What are the total fees (in euros) that Crossfit_Hanna paid in July 2023?,hard,"[1753, 1681]","[1753, 1681]","What are the applicable fee IDs for Belles_cookbook_store in March 2023? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
2524,"In 2023, which merchants were affected by the Fee with ID 17?",hard,"[1681, 1753]","[1681, 1753]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
24,Which device type is most commonly used in fraudulent transactions?,easy,[49],[49],"What is the top country (ip_country) for fraud? A. NL, B. BE, C. ES, D. FR"
2530,"Imagine the merchant Belles_cookbook_store had changed its MCC code to 5911 before 2023 started, what amount delta will it have to pay in fees for the year 2023?",hard,"[1681, 1753, 1871]","[1681, 1753, 1871]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023? || In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?"
2480,In the year 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=150 changed to 99?,hard,[1871],[1871],In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?
42,Are there any duplicate (by all columns) transactions in the payments dataset?,easy,[5],[5],Which issuing country has the highest number of transactions?
2397,In May 2023 what delta would Rafa_AI pay if the relative fee of the fee with ID=787 changed to 1?,hard,[1871],[1871],In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?
2729,"For Golfclub_Baron_Friso in July, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?",hard,[2697],[2697],"For Belles_cookbook_store in January, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?"
1716,"For the 365th of the year 2023, what is the total fees (in euros) that Belles_cookbook_store should pay?",hard,"[1681, 1753]","[1681, 1753]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
1348,"For account type H and the MCC description: Drinking Places (Alcoholic Beverages) - Bars, Taverns, Nightclubs, Cocktail Lounges, and Discotheques, what would be the average fee that the card scheme TransactPlus would charge for a transaction value of 100 EUR? Provide the answer in EUR and 6 decimals",hard,[1305],[1305],"For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
1450,"For a credit transaction of 10 euros on TransactPlus, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
1700,"For the 12th of the year 2023, what are the Fee IDs applicable to Martinis_Fine_Steakhouse?",hard,[1681],[1681],"For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
2565,"During 2023, imagine if the Fee with ID 17 was only applied to account type R, which merchants would have been affected by this change?",hard,"[1681, 1753, 1464]","[1681, 1753, 1464]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023? || What is the fee ID or IDs that apply to account_type = R and aci = B?"
2485,In the year 2023 what delta would Crossfit_Hanna pay if the relative fee of the fee with ID=276 changed to 1?,hard,[1871],[1871],In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?
1460,"For a credit transaction of 10000 euros on NexPay, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.",hard,[1273],[1273],"For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR?"
2562,"During 2023, imagine if the Fee with ID 384 was only applied to account type F, which merchants would have been affected by this change?",hard,"[1464, 1681, 1753]","[1464, 1681, 1753]","What is the fee ID or IDs that apply to account_type = R and aci = B? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
2484,In the year 2023 what delta would Crossfit_Hanna pay if the relative fee of the fee with ID=398 changed to 99?,hard,[1871],[1871],In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?
1749,What are the total fees (in euros) that Martinis_Fine_Steakhouse paid in 2023?,hard,"[1681, 1753, 1871]","[1681, 1753, 1871]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023? || In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?"
23,What is the fraud rate for in-person transactions for the year 2023?,easy,[49],[49],"What is the top country (ip_country) for fraud? A. NL, B. BE, C. ES, D. FR"
2575,"During 2023, imagine if the Fee with ID 787 was only applied to account type S, which merchants would have been affected by this change?",hard,"[1681, 1753, 1464]","[1681, 1753, 1464]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023? || What is the fee ID or IDs that apply to account_type = R and aci = B?"
1287,"For credit transactions, what would be the average fee that the card scheme SwiftCharge would charge for a transaction value of 500 EUR?",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
1455,"For a credit transaction of 1000 euros on GlobalCard, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
1789,What were the applicable Fee IDs for Martinis_Fine_Steakhouse in March 2023?,hard,[1753],[1753],What are the applicable fee IDs for Belles_cookbook_store in March 2023?
2767,"Looking at the year 2023 and at the merchant Belles_cookbook_store, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing shoppers to use a different payment interactions, what would be the preferred choice considering the lowest possible fees?",hard,[2697],[2697],"For Belles_cookbook_store in January, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?"
2554,"During 2023, imagine if the Fee with ID 64 was only applied to account type D, which merchants would have been affected by this change?",hard,"[1681, 1753, 1464]","[1681, 1753, 1464]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023? || What is the fee ID or IDs that apply to account_type = R and aci = B?"
617,What is the average transaction value grouped by device_type for Rafa_AI's SwiftCharge transactions between May and June 2023?,hard,[1681],[1681],"For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
2674,"Looking at the month of October, to which card scheme should the merchant Martinis_Fine_Steakhouse steer traffic in order to pay the minimum fees?",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
1470,What is the fee ID or IDs that apply to account_type = D and aci = A?,hard,[1464],[1464],What is the fee ID or IDs that apply to account_type = R and aci = B?
1729,"For the 10th of the year 2023, what is the total fees (in euros) that Martinis_Fine_Steakhouse should pay?",hard,"[1681, 1273]","[1681, 1273]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR?"
2712,"For Belles_cookbook_store in April, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?",hard,[2697],[2697],"For Belles_cookbook_store in January, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?"
178,What is the average transaction value grouped by ip_country for Belles_cookbook_store's SwiftCharge transactions between June and October 2023?,hard,[1681],[1681],"For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
2509,In the year 2023 what delta would Martinis_Fine_Steakhouse pay if the relative fee of the fee with ID=280 changed to 1?,hard,[1871],[1871],In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?
1722,"For the 365th of the year 2023, what is the total fees (in euros) that Crossfit_Hanna should pay?",hard,[1681],[1681],"For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
2528,"Imagine the merchant Belles_cookbook_store had changed its MCC code to 8062 before 2023 started, what amount delta will it have to pay in fees for the year 2023?",hard,"[1681, 1753, 1871]","[1681, 1753, 1871]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023? || In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?"
38,What percentage of transactions came from the top 2 merchants in amount volume?,easy,[5],[5],Which issuing country has the highest number of transactions?
2496,In the year 2023 what delta would Golfclub_Baron_Friso pay if the relative fee of the fee with ID=709 changed to 99?,hard,[1871],[1871],In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?
2558,"During 2023, imagine if the Fee with ID 64 was only applied to account type O, which merchants would have been affected by this change?",hard,"[1681, 1753, 1464]","[1681, 1753, 1464]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023? || What is the fee ID or IDs that apply to account_type = R and aci = B?"
59,What are the top 3 countries (ip_country) by avg transaction value for Crossfit_Hanna's NexPay transactions in the last quarter of 2023?,easy,[5],[5],Which issuing country has the highest number of transactions?
1452,"For a credit transaction of 100 euros on NexPay, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.",hard,"[1273, 1681]","[1273, 1681]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
1570,"For account type D, what would be the average fee that the card scheme NexPay would charge for a transaction value of 1000 EUR? Provide the answer in EUR and 6 decimals.",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
1753,What were the applicable Fee IDs for Belles_cookbook_store in March 2023?,hard,[1753],[1753],What are the applicable fee IDs for Belles_cookbook_store in March 2023?
25,How many outliers are there in the transaction amount data (using Z-Score > 3)?,easy,[5],[5],Which issuing country has the highest number of transactions?
1497,What is the fee ID or IDs that apply to account_type = S and aci = G?,hard,[1464],[1464],What is the fee ID or IDs that apply to account_type = R and aci = B?
1435,"What is the most expensive MCC for a transaction of 10 euros, in general? If there are many MCCs with the same value, list all of them. Provide a list as an output even if it is one element.",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
2555,"During 2023, imagine if the Fee with ID 64 was only applied to account type H, which merchants would have been affected by this change?",hard,"[1464, 1681, 1753]","[1464, 1681, 1753]","What is the fee ID or IDs that apply to account_type = R and aci = B? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
1305,"For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals",hard,[1305],[1305],"For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
1732,"For the 200th of the year 2023, what is the total fees (in euros) that Martinis_Fine_Steakhouse should pay?",hard,"[1681, 1753]","[1681, 1753]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
1509,"In the average scenario, which card scheme would provide the cheapest fee for a transaction value of 100 EUR?",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
2573,"During 2023, imagine if the Fee with ID 787 was only applied to account type H, which merchants would have been affected by this change?",hard,"[1464, 1681, 1753]","[1464, 1681, 1753]","What is the fee ID or IDs that apply to account_type = R and aci = B? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
2552,"Imagine the merchant Rafa_AI had changed its MCC code to 7523 before 2023 started, what amount delta will it have to pay in fees for the year 2023?",hard,"[1681, 1753, 1871]","[1681, 1753, 1871]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023? || In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?"
1,How many total transactions are there in the dataset?,easy,[5],[5],Which issuing country has the highest number of transactions?
1853,What are the total fees (in euros) that Martinis_Fine_Steakhouse paid in July 2023?,hard,[1753],[1753],What are the applicable fee IDs for Belles_cookbook_store in March 2023?
1520,"In the average scenario, which card scheme would provide the most expensive fee for a transaction value of 4321 EUR?",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
2583,"Looking at the month of January, to which card scheme should the merchant Martinis_Fine_Steakhouse steer traffic in order to pay the maximum fees?",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
2571,"During 2023, imagine if the Fee with ID 787 was only applied to account type R, which merchants would have been affected by this change?",hard,"[1464, 1681, 1753]","[1464, 1681, 1753]","What is the fee ID or IDs that apply to account_type = R and aci = B? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
1674,"For account type S, what would be the average fee that the card scheme NexPay would charge for a transaction value of 1234 EUR? Provide the answer in EUR and 6 decimals.",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
10,How many unique merchants are present in the dataset?,easy,[5],[5],Which issuing country has the highest number of transactions?
1846,What are the total fees (in euros) that Golfclub_Baron_Friso paid in December 2023?,hard,"[1681, 1753]","[1681, 1753]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
50,Are credit payments more likely to result in a fraudulent dispute compared to debit card payments?,easy,[49],[49],"What is the top country (ip_country) for fraud? A. NL, B. BE, C. ES, D. FR"
1745,What are the applicable fee IDs for Rafa_AI in 2023?,hard,"[1681, 1753]","[1681, 1753]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
70,Is Martinis_Fine_Steakhouse in danger of getting a high-fraud rate fine?,easy,[49],[49],"What is the top country (ip_country) for fraud? A. NL, B. BE, C. ES, D. FR"
1486,What is the fee ID or IDs that apply to account_type = F and aci = C?,hard,[1464],[1464],What is the fee ID or IDs that apply to account_type = R and aci = B?
1281,"For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 100 EUR?",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
2539,"Imagine the merchant Golfclub_Baron_Friso had changed its MCC code to 5411 before 2023 started, what amount delta will it have to pay in fees for the year 2023?",hard,"[1681, 1753, 1871]","[1681, 1753, 1871]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023? || In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?"
2419,In July 2023 what delta would Rafa_AI pay if the relative fee of the fee with ID=276 changed to 1?,hard,[1871],[1871],In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?
19,What is the highest avg fraud rate for the year 2023? (by card_scheme),easy,[49],[49],"What is the top country (ip_country) for fraud? A. NL, B. BE, C. ES, D. FR"
1705,"For the 10th of the year 2023, what are the Fee IDs applicable to Rafa_AI?",hard,[1681],[1681],"For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
1366,"For account type H and the MCC description: Drinking Places (Alcoholic Beverages) - Bars, Taverns, Nightclubs, Cocktail Lounges, and Discotheques, what would be the average fee that the card scheme NexPay would charge for a transaction value of 4321 EUR? Provide the answer in EUR and 6 decimals",hard,[1305],[1305],"For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
44,What percentage of shoppers are repeat customers (based on email addresses)?,easy,[],[],
1694,"For the 12th of the year 2023, what are the Fee IDs applicable to Golfclub_Baron_Friso?",hard,[1681],[1681],"For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
1771,What were the applicable Fee IDs for Crossfit_Hanna in September 2023?,hard,[1753],[1753],What are the applicable fee IDs for Belles_cookbook_store in March 2023?
