task_id,question,answer,guidelines,level,clusters,referred,referred_question
1696,"For the 200th of the year 2023, what are the Fee IDs applicable to Golfclub_Baron_Friso?",,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[5, 6]","[1681, 1753]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
2691,"Looking at the month of December, to which card scheme should the merchant Golfclub_Baron_Friso steer traffic in order to pay the maximum fees?",,"Answer must be just the selected card scheme and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[2, 3]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
30,Is the fraud rate for ecommerce transactions higher than in-store transactions during the year 2023?,,"Answer must either yes or no. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy,"[1, 2]","[49, 1273]","What is the top country (ip_country) for fraud? A. NL, B. BE, C. ES, D. FR || For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR?"
2550,"Imagine the merchant Rafa_AI had changed its MCC code to 5911 before 2023 started, what amount delta will it have to pay in fees for the year 2023?",,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[7, 5]","[1871, 1681]","In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
2769,"Looking at the year 2023 and at the merchant Golfclub_Baron_Friso, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing shoppers to use a different payment interactions, what would be the preferred choice considering the lowest possible fees?",,"Answer must be just the selected ACI to incentive and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[8, 5]","[2697, 1681]","For Belles_cookbook_store in January, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
1274,"For credit transactions, what would be the average fee that the card scheme NexPay would charge for a transaction value of 10 EUR?",,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[2, 3]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
1763,What were the applicable Fee IDs for Crossfit_Hanna in January 2023?,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[6, 5]","[1753, 1681]","What are the applicable fee IDs for Belles_cookbook_store in March 2023? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
973,What is the average transaction value grouped by aci for Belles_cookbook_store's SwiftCharge transactions between January and February 2023?,,"Present your results broken down by grouping and sorted in ascending order. The final answer should be a list of this format: [grouping_i: amount_i, ]. When grouping by country use the country_code. The elements of the list are sorted in ascending order by the amount. All amounts should be rounded to 2 decimal places.. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[7, 8]","[1871, 2697]","In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1? || For Belles_cookbook_store in January, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?"
1748,What are the total fees (in euros) that Golfclub_Baron_Friso paid in 2023?,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[6, 5]","[1753, 1681]","What are the applicable fee IDs for Belles_cookbook_store in March 2023? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
1507,"In the average scenario, which card scheme would provide the cheapest fee for a transaction value of 50 EUR?",,"Answer must be just the name of the card scheme. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[2, 3]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
1427,"For account type H and the MCC description: Taxicabs and Limousines, what would be the average fee that the card scheme SwiftCharge would charge for a transaction value of 1234 EUR? Provide the answer in EUR and 6 decimals",,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[3, 2]","[1305, 1273]","For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals || For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR?"
2746,"For Rafa_AI in October, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?",,"Answer must be just the selected ACI to incentive and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[8, 4]","[2697, 1464]","For Belles_cookbook_store in January, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees? || What is the fee ID or IDs that apply to account_type = R and aci = B?"
64,What are the possible values for the field aci?,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy,"[8, 4]","[2697, 1464]","For Belles_cookbook_store in January, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees? || What is the fee ID or IDs that apply to account_type = R and aci = B?"
1861,What are the total fees (in euros) that Rafa_AI paid in March 2023?,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[6, 5]","[1753, 1681]","What are the applicable fee IDs for Belles_cookbook_store in March 2023? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
1511,"In the average scenario, which card scheme would provide the cheapest fee for a transaction value of 500 EUR?",,"Answer must be just the name of the card scheme. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[2, 3]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
2529,"Imagine the merchant Belles_cookbook_store had changed its MCC code to 5411 before 2023 started, what amount delta will it have to pay in fees for the year 2023?",,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[7, 5]","[1871, 1681]","In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
2520,In the year 2023 what delta would Rafa_AI pay if the relative fee of the fee with ID=276 changed to 99?,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[7, 5]","[1871, 1681]","In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
1502,What is the fee ID or IDs that apply to account_type = O and aci = E?,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[4, 6]","[1464, 1753]",What is the fee ID or IDs that apply to account_type = R and aci = B? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?
6,What percentage of the transactions are made using credit cards?,,"Answer must be just a number rounded to 3 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy,"[2, 0]","[1273, 5]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || Which issuing country has the highest number of transactions?"
2566,"During 2023, imagine if the Fee with ID 17 was only applied to account type D, which merchants would have been affected by this change?",,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[7, 3]","[1871, 1305]","In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
1829,What are the total fees (in euros) that Crossfit_Hanna paid in July 2023?,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[6, 5]","[1753, 1681]","What are the applicable fee IDs for Belles_cookbook_store in March 2023? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
2524,"In 2023, which merchants were affected by the Fee with ID 17?",,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[7, 4]","[1871, 1464]",In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1? || What is the fee ID or IDs that apply to account_type = R and aci = B?
24,Which device type is most commonly used in fraudulent transactions?,,"Answer must be just the name of the device category. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy,"[8, 2]","[2697, 1273]","For Belles_cookbook_store in January, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees? || For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR?"
2530,"Imagine the merchant Belles_cookbook_store had changed its MCC code to 5911 before 2023 started, what amount delta will it have to pay in fees for the year 2023?",,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[7, 5]","[1871, 1681]","In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
2480,In the year 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=150 changed to 99?,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[7, 5]","[1871, 1681]","In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
42,Are there any duplicate (by all columns) transactions in the payments dataset?,,"Answer must be either yes or no. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy,"[2, 0]","[1273, 5]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || Which issuing country has the highest number of transactions?"
2397,In May 2023 what delta would Rafa_AI pay if the relative fee of the fee with ID=787 changed to 1?,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[7, 4]","[1871, 1464]",In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1? || What is the fee ID or IDs that apply to account_type = R and aci = B?
2729,"For Golfclub_Baron_Friso in July, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?",,"Answer must be just the selected ACI to incentive and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[8, 4]","[2697, 1464]","For Belles_cookbook_store in January, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees? || What is the fee ID or IDs that apply to account_type = R and aci = B?"
1716,"For the 365th of the year 2023, what is the total fees (in euros) that Belles_cookbook_store should pay?",,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[5, 7]","[1681, 1871]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?"
1348,"For account type H and the MCC description: Drinking Places (Alcoholic Beverages) - Bars, Taverns, Nightclubs, Cocktail Lounges, and Discotheques, what would be the average fee that the card scheme TransactPlus would charge for a transaction value of 100 EUR? Provide the answer in EUR and 6 decimals",,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[3, 2]","[1305, 1273]","For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals || For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR?"
1450,"For a credit transaction of 10 euros on TransactPlus, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.",,"Answer must be just one letter. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[2, 8]","[1273, 2697]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For Belles_cookbook_store in January, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?"
1700,"For the 12th of the year 2023, what are the Fee IDs applicable to Martinis_Fine_Steakhouse?",,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[5, 6]","[1681, 1753]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
2565,"During 2023, imagine if the Fee with ID 17 was only applied to account type R, which merchants would have been affected by this change?",,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[7, 3]","[1871, 1305]","In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
2485,In the year 2023 what delta would Crossfit_Hanna pay if the relative fee of the fee with ID=276 changed to 1?,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[7, 5]","[1871, 1681]","In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
1460,"For a credit transaction of 10000 euros on NexPay, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.",,"Answer must be just one letter. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[8, 2]","[2697, 1273]","For Belles_cookbook_store in January, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees? || For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR?"
2562,"During 2023, imagine if the Fee with ID 384 was only applied to account type F, which merchants would have been affected by this change?",,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[7, 3]","[1871, 1305]","In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
2484,In the year 2023 what delta would Crossfit_Hanna pay if the relative fee of the fee with ID=398 changed to 99?,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[7, 5]","[1871, 1681]","In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
1749,What are the total fees (in euros) that Martinis_Fine_Steakhouse paid in 2023?,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[6, 5]","[1753, 1681]","What are the applicable fee IDs for Belles_cookbook_store in March 2023? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
23,What is the fraud rate for in-person transactions for the year 2023?,,"Answer must be just a number. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy,"[1, 5]","[49, 1681]","What is the top country (ip_country) for fraud? A. NL, B. BE, C. ES, D. FR || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
2575,"During 2023, imagine if the Fee with ID 787 was only applied to account type S, which merchants would have been affected by this change?",,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[7, 3]","[1871, 1305]","In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
1287,"For credit transactions, what would be the average fee that the card scheme SwiftCharge would charge for a transaction value of 500 EUR?",,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[2, 3]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
1455,"For a credit transaction of 1000 euros on GlobalCard, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.",,"Answer must be just one letter. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[2, 8]","[1273, 2697]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For Belles_cookbook_store in January, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?"
1789,What were the applicable Fee IDs for Martinis_Fine_Steakhouse in March 2023?,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[6, 5]","[1753, 1681]","What are the applicable fee IDs for Belles_cookbook_store in March 2023? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
2767,"Looking at the year 2023 and at the merchant Belles_cookbook_store, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing shoppers to use a different payment interactions, what would be the preferred choice considering the lowest possible fees?",,"Answer must be just the selected ACI to incentive and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[8, 5]","[2697, 1681]","For Belles_cookbook_store in January, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
2554,"During 2023, imagine if the Fee with ID 64 was only applied to account type D, which merchants would have been affected by this change?",,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[7, 3]","[1871, 1305]","In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
617,What is the average transaction value grouped by device_type for Rafa_AI's SwiftCharge transactions between May and June 2023?,,"Present your results broken down by grouping and sorted in ascending order. The final answer should be a list of this format: [grouping_i: amount_i, ]. When grouping by country use the country_code. The elements of the list are sorted in ascending order by the amount. All amounts should be rounded to 2 decimal places.. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[2, 3]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
2674,"Looking at the month of October, to which card scheme should the merchant Martinis_Fine_Steakhouse steer traffic in order to pay the minimum fees?",,"Answer must be just the selected card scheme and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[2, 3]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
1470,What is the fee ID or IDs that apply to account_type = D and aci = A?,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[4, 6]","[1464, 1753]",What is the fee ID or IDs that apply to account_type = R and aci = B? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?
1729,"For the 10th of the year 2023, what is the total fees (in euros) that Martinis_Fine_Steakhouse should pay?",,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[5, 7]","[1681, 1871]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?"
