task_id,question,input_fields,output_fields,answer,guidelines,level
1861,What are the total fees (in euros) that Rafa_AI paid in March 2023?,"payments.merchant, payments.year, payments.day_of_year, payments.eur_amount",compute.fee,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1511,"In the average scenario, which card scheme would provide the cheapest fee for a transaction value of 500 EUR?","payments.card_scheme, payments.eur_amount",compute.fee,,"Answer must be just the name of the card scheme. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2529,"Imagine the merchant Belles_cookbook_store had changed its MCC code to 5411 before 2023 started, what amount delta will it have to pay in fees for the year 2023?","payments.merchant, payments.year, payments.day_of_year, payments.eur_amount, merchant_data.merchant_category_code, merchant_data.merchant",compute.fee,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2520,In the year 2023 what delta would Rafa_AI pay if the relative fee of the fee with ID=276 changed to 99?,"payments.merchant, payments.year, fees.ID",compute.fee,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1502,What is the fee ID or IDs that apply to account_type = O and aci = E?,"fees.account_type, fees.aci",fees.ID,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
6,What percentage of the transactions are made using credit cards?,payments.is_credit,,,"Answer must be just a number rounded to 3 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
2566,"During 2023, imagine if the Fee with ID 17 was only applied to account type D, which merchants would have been affected by this change?","merchant_data.account_type, payments.merchant, payments.year",payments.merchant,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1829,What are the total fees (in euros) that Crossfit_Hanna paid in July 2023?,"payments.merchant, payments.year, payments.day_of_year, payments.eur_amount",compute.fee,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2524,"In 2023, which merchants were affected by the Fee with ID 17?","payments.merchant, payments.year, fees.ID",payments.merchant,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
24,Which device type is most commonly used in fraudulent transactions?,"payments.device_type, payments.has_fraudulent_dispute",payments.device_type,,"Answer must be just the name of the device category. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
2530,"Imagine the merchant Belles_cookbook_store had changed its MCC code to 5911 before 2023 started, what amount delta will it have to pay in fees for the year 2023?","merchant_data.merchant, merchant_data.merchant_category_code, payments.merchant, payments.year, payments.eur_amount, payments.day_of_year, fees.merchant_category_code",compute.fee,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2480,In the year 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=150 changed to 99?,"payments.merchant, payments.year, fees.ID",compute.fee,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
42,Are there any duplicate (by all columns) transactions in the payments dataset?,"payments.psp_reference, payments.merchant, payments.card_scheme, payments.year, payments.hour_of_day, payments.minute_of_hour, payments.day_of_year, payments.is_credit, payments.eur_amount, payments.ip_country, payments.issuing_country, payments.device_type, payments.ip_address, payments.email_address, payments.card_number, payments.shopper_interaction, payments.card_bin, payments.has_fraudulent_dispute, payments.is_refused_by_adyen, payments.aci, payments.acquirer_country",,,"Answer must be either yes or no. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
2397,In May 2023 what delta would Rafa_AI pay if the relative fee of the fee with ID=787 changed to 1?,"payments.merchant, payments.year, payments.day_of_year, fees.ID",compute.fee,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2729,"For Golfclub_Baron_Friso in July, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?","payments.merchant, payments.day_of_year, payments.has_fraudulent_dispute, fees.aci, payments.aci, payments.is_credit",compute.fee,,"Answer must be just the selected ACI to incentive and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1716,"For the 365th of the year 2023, what is the total fees (in euros) that Belles_cookbook_store should pay?","payments.merchant, payments.day_of_year, payments.year, payments.eur_amount",compute.fee,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1348,"For account type H and the MCC description: Drinking Places (Alcoholic Beverages) - Bars, Taverns, Nightclubs, Cocktail Lounges, and Discotheques, what would be the average fee that the card scheme TransactPlus would charge for a transaction value of 100 EUR? Provide the answer in EUR and 6 decimals","merchant_data.account_type, merchant_category_codes.description, payments.card_scheme, payments.eur_amount",compute.fee,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1450,"For a credit transaction of 10 euros on TransactPlus, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.","payments.eur_amount, payments.is_credit, payments.card_scheme, payments.aci",fees.aci,,"Answer must be just one letter. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1700,"For the 12th of the year 2023, what are the Fee IDs applicable to Martinis_Fine_Steakhouse?","payments.day_of_year, payments.year, payments.merchant, fees.merchant_category_code, merchant_data.merchant_category_code",fees.ID,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2565,"During 2023, imagine if the Fee with ID 17 was only applied to account type R, which merchants would have been affected by this change?","merchant_data.account_type, payments.year",merchant_data.merchant,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2485,In the year 2023 what delta would Crossfit_Hanna pay if the relative fee of the fee with ID=276 changed to 1?,"payments.merchant, payments.year, fees.ID",compute.fee,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1460,"For a credit transaction of 10000 euros on NexPay, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.","payments.is_credit, payments.eur_amount, payments.card_scheme, payments.aci",payments.aci,,"Answer must be just one letter. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2562,"During 2023, imagine if the Fee with ID 384 was only applied to account type F, which merchants would have been affected by this change?","merchant_data.account_type, merchant_data.merchant, payments.year, fees.ID",merchant_data.merchant,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2484,In the year 2023 what delta would Crossfit_Hanna pay if the relative fee of the fee with ID=398 changed to 99?,"payments.merchant, payments.year, fees.ID",compute.fee,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1749,What are the total fees (in euros) that Martinis_Fine_Steakhouse paid in 2023?,"payments.merchant, payments.eur_amount, payments.year",compute.fee,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
23,What is the fraud rate for in-person transactions for the year 2023?,"payments.shopper_interaction, payments.year, payments.has_fraudulent_dispute, payments.day_of_year",,,"Answer must be just a number. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
2575,"During 2023, imagine if the Fee with ID 787 was only applied to account type S, which merchants would have been affected by this change?","merchant_data.account_type, merchant_data.merchant, payments.year, fees.ID",merchant_data.merchant,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1287,"For credit transactions, what would be the average fee that the card scheme SwiftCharge would charge for a transaction value of 500 EUR?","payments.is_credit, payments.card_scheme, payments.eur_amount",compute.fee,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1455,"For a credit transaction of 1000 euros on GlobalCard, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.","payments.is_credit, payments.eur_amount, payments.card_scheme, payments.aci",fees.aci,,"Answer must be just one letter. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1789,What were the applicable Fee IDs for Martinis_Fine_Steakhouse in March 2023?,"payments.merchant, payments.year, payments.day_of_year, merchant_data.merchant, fees.merchant_category_code, merchant_data.merchant_category_code, payments.merchant",fees.ID,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2767,"Looking at the year 2023 and at the merchant Belles_cookbook_store, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing shoppers to use a different payment interactions, what would be the preferred choice considering the lowest possible fees?","payments.year, payments.merchant, payments.has_fraudulent_dispute, payments.aci, fees.aci, fees.is_credit, fees.merchant_category_code, fees.monthly_fraud_level, fees.monthly_volume, fees.intracountry, fees.capture_delay, fees.account_type",compute.fee,,"Answer must be just the selected ACI to incentive and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2554,"During 2023, imagine if the Fee with ID 64 was only applied to account type D, which merchants would have been affected by this change?","merchant_data.account_type, payments.merchant, payments.year",payments.merchant,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
617,What is the average transaction value grouped by device_type for Rafa_AI's SwiftCharge transactions between May and June 2023?,"payments.merchant, payments.card_scheme, payments.year, payments.day_of_year, payments.device_type, payments.eur_amount",compute.fee,,"Present your results broken down by grouping and sorted in ascending order. The final answer should be a list of this format: [grouping_i: amount_i, ]. When grouping by country use the country_code. The elements of the list are sorted in ascending order by the amount. All amounts should be rounded to 2 decimal places.. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2674,"Looking at the month of October, to which card scheme should the merchant Martinis_Fine_Steakhouse steer traffic in order to pay the minimum fees?","payments.merchant, payments.day_of_year, payments.card_scheme, payments.eur_amount, fees.monthly_volume, fees.merchant_category_code, fees.monthly_fraud_level, fees.is_credit, fees.intracountry",compute.fee,,"Answer must be just the selected card scheme and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1470,What is the fee ID or IDs that apply to account_type = D and aci = A?,"fees.account_type, fees.aci",fees.ID,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1729,"For the 10th of the year 2023, what is the total fees (in euros) that Martinis_Fine_Steakhouse should pay?","payments.merchant, payments.year, payments.day_of_year, payments.eur_amount, payments.is_credit, payments.issuing_country, payments.acquirer_country, payments.acquirer_country, fees.merchant_category_code, fees.is_credit, fees.intracountry",compute.fee,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2712,"For Belles_cookbook_store in April, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?","payments.merchant, payments.day_of_year, payments.aci, payments.has_fraudulent_dispute, fees.aci",compute.fee,,"Answer must be just the selected ACI to incentive and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
178,What is the average transaction value grouped by ip_country for Belles_cookbook_store's SwiftCharge transactions between June and October 2023?,"payments.merchant, payments.card_scheme, payments.year, payments.day_of_year, payments.eur_amount, payments.ip_country",compute.fee,,"Present your results broken down by grouping and sorted in ascending order. The final answer should be a list of this format: [grouping_i: amount_i, ]. When grouping by country use the country_code. The elements of the list are sorted in ascending order by the amount. All amounts should be rounded to 2 decimal places.. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2509,In the year 2023 what delta would Martinis_Fine_Steakhouse pay if the relative fee of the fee with ID=280 changed to 1?,"payments.merchant, payments.year, fees.ID",compute.fee,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1722,"For the 365th of the year 2023, what is the total fees (in euros) that Crossfit_Hanna should pay?","payments.merchant, payments.day_of_year, payments.year, payments.eur_amount, payments.is_credit, payments.issuing_country, payments.acquirer_country",compute.fee,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2528,"Imagine the merchant Belles_cookbook_store had changed its MCC code to 8062 before 2023 started, what amount delta will it have to pay in fees for the year 2023?","merchant_data.merchant, merchant_data.merchant_category_code, payments.year, payments.eur_amount, payments.merchant",compute.fee,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
38,What percentage of transactions came from the top 2 merchants in amount volume?,"payments.merchant, payments.eur_amount",,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
2496,In the year 2023 what delta would Golfclub_Baron_Friso pay if the relative fee of the fee with ID=709 changed to 99?,"payments.merchant, payments.year, fees.ID",compute.fee,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2558,"During 2023, imagine if the Fee with ID 64 was only applied to account type O, which merchants would have been affected by this change?","merchant_data.account_type, payments.merchant, payments.year",payments.merchant,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
59,What are the top 3 countries (ip_country) by avg transaction value for Crossfit_Hanna's NexPay transactions in the last quarter of 2023?,"payments.merchant, payments.card_scheme, payments.year, payments.day_of_year, payments.ip_country, payments.eur_amount",payments.ip_country,,"Answer must be a comma separated list of country codes. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1452,"For a credit transaction of 100 euros on NexPay, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.","payments.is_credit, payments.eur_amount, payments.card_scheme, payments.aci",fees.aci,,"Answer must be just one letter. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1570,"For account type D, what would be the average fee that the card scheme NexPay would charge for a transaction value of 1000 EUR? Provide the answer in EUR and 6 decimals.","merchant_data.account_type, payments.card_scheme, payments.eur_amount",compute.fee,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1753,What were the applicable Fee IDs for Belles_cookbook_store in March 2023?,"payments.merchant, payments.year, payments.day_of_year, fees.merchant_category_code, fees.monthly_fraud_level, fees.monthly_volume, fees.is_credit, fees.intracountry, fees.aci, fees.account_type, fees.capture_delay, merchant_data.merchant, merchant_data.merchant_category_code, merchant_data.capture_delay, merchant_data.account_type, acquirer_countries.acquirer, acquirer_countries.country_code",fees.ID,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
25,How many outliers are there in the transaction amount data (using Z-Score > 3)?,payments.eur_amount,payments.eur_amount,,"Answer must be just a number. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1497,What is the fee ID or IDs that apply to account_type = S and aci = G?,"fees.account_type, fees.aci",fees.ID,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1435,"What is the most expensive MCC for a transaction of 10 euros, in general? If there are many MCCs with the same value, list all of them. Provide a list as an output even if it is one element.","payments.eur_amount, merchant_data.merchant_category_code, fees.merchant_category_code",merchant_data.merchant_category_code,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2555,"During 2023, imagine if the Fee with ID 64 was only applied to account type H, which merchants would have been affected by this change?","fees.account_type, merchant_data.account_type, payments.year",merchant_data.merchant,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1305,"For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals","merchant_data.account_type, merchant_category_codes.description, payments.card_scheme, payments.eur_amount",compute.fee,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1732,"For the 200th of the year 2023, what is the total fees (in euros) that Martinis_Fine_Steakhouse should pay?","payments.merchant, payments.year, payments.day_of_year, payments.eur_amount, payments.is_credit, payments.issuing_country, payments.acquirer_country",compute.fee,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1509,"In the average scenario, which card scheme would provide the cheapest fee for a transaction value of 100 EUR?","fees.is_credit, fees.acquirer, fees.merchant_category_code, payments.card_scheme, payments.eur_amount",compute.fee,,"Answer must be just the name of the card scheme. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2573,"During 2023, imagine if the Fee with ID 787 was only applied to account type H, which merchants would have been affected by this change?","merchant_data.account_type, merchant_data.merchant, payments.year",merchant_data.merchant,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2552,"Imagine the merchant Rafa_AI had changed its MCC code to 7523 before 2023 started, what amount delta will it have to pay in fees for the year 2023?","payments.merchant, payments.year, merchant_data.merchant, merchant_data.merchant_category_code, payments.eur_amount, fees.merchant_category_code, fees.monthly_volume",compute.fee,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
