task_id,question,input_fields,output_field,answer,guidelines,level
2691,"Looking at the month of December, to which card scheme should the merchant Golfclub_Baron_Friso steer traffic in order to pay the maximum fees?",,,,"Answer must be just the selected card scheme and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
30,Is the fraud rate for ecommerce transactions higher than in-store transactions during the year 2023?,,,,"Answer must either yes or no. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
2550,"Imagine the merchant Rafa_AI had changed its MCC code to 5911 before 2023 started, what amount delta will it have to pay in fees for the year 2023?",,,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2769,"Looking at the year 2023 and at the merchant Golfclub_Baron_Friso, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing shoppers to use a different payment interactions, what would be the preferred choice considering the lowest possible fees?",,,,"Answer must be just the selected ACI to incentive and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1274,"For credit transactions, what would be the average fee that the card scheme NexPay would charge for a transaction value of 10 EUR?",,,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1763,What were the applicable Fee IDs for Crossfit_Hanna in January 2023?,,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
973,What is the average transaction value grouped by aci for Belles_cookbook_store's SwiftCharge transactions between January and February 2023?,,,,"Present your results broken down by grouping and sorted in ascending order. The final answer should be a list of this format: [grouping_i: amount_i, ]. When grouping by country use the country_code. The elements of the list are sorted in ascending order by the amount. All amounts should be rounded to 2 decimal places.. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1748,What are the total fees (in euros) that Golfclub_Baron_Friso paid in 2023?,,,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1507,"In the average scenario, which card scheme would provide the cheapest fee for a transaction value of 50 EUR?",,,,"Answer must be just the name of the card scheme. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1427,"For account type H and the MCC description: Taxicabs and Limousines, what would be the average fee that the card scheme SwiftCharge would charge for a transaction value of 1234 EUR? Provide the answer in EUR and 6 decimals",,,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2746,"For Rafa_AI in October, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?",,,,"Answer must be just the selected ACI to incentive and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
64,What are the possible values for the field aci?,,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1861,What are the total fees (in euros) that Rafa_AI paid in March 2023?,,,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1511,"In the average scenario, which card scheme would provide the cheapest fee for a transaction value of 500 EUR?",,,,"Answer must be just the name of the card scheme. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2529,"Imagine the merchant Belles_cookbook_store had changed its MCC code to 5411 before 2023 started, what amount delta will it have to pay in fees for the year 2023?",,,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2520,In the year 2023 what delta would Rafa_AI pay if the relative fee of the fee with ID=276 changed to 99?,,,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1502,What is the fee ID or IDs that apply to account_type = O and aci = E?,,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
6,What percentage of the transactions are made using credit cards?,,,,"Answer must be just a number rounded to 3 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
2566,"During 2023, imagine if the Fee with ID 17 was only applied to account type D, which merchants would have been affected by this change?",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1829,What are the total fees (in euros) that Crossfit_Hanna paid in July 2023?,,,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2524,"In 2023, which merchants were affected by the Fee with ID 17?",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
24,Which device type is most commonly used in fraudulent transactions?,,,,"Answer must be just the name of the device category. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
2530,"Imagine the merchant Belles_cookbook_store had changed its MCC code to 5911 before 2023 started, what amount delta will it have to pay in fees for the year 2023?",,,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2480,In the year 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=150 changed to 99?,,,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
42,Are there any duplicate (by all columns) transactions in the payments dataset?,,,,"Answer must be either yes or no. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
2397,In May 2023 what delta would Rafa_AI pay if the relative fee of the fee with ID=787 changed to 1?,,,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2729,"For Golfclub_Baron_Friso in July, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?",,,,"Answer must be just the selected ACI to incentive and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1716,"For the 365th of the year 2023, what is the total fees (in euros) that Belles_cookbook_store should pay?",,,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1348,"For account type H and the MCC description: Drinking Places (Alcoholic Beverages) - Bars, Taverns, Nightclubs, Cocktail Lounges, and Discotheques, what would be the average fee that the card scheme TransactPlus would charge for a transaction value of 100 EUR? Provide the answer in EUR and 6 decimals",,,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1450,"For a credit transaction of 10 euros on TransactPlus, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.",,,,"Answer must be just one letter. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1700,"For the 12th of the year 2023, what are the Fee IDs applicable to Martinis_Fine_Steakhouse?",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2565,"During 2023, imagine if the Fee with ID 17 was only applied to account type R, which merchants would have been affected by this change?",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2485,In the year 2023 what delta would Crossfit_Hanna pay if the relative fee of the fee with ID=276 changed to 1?,,,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1460,"For a credit transaction of 10000 euros on NexPay, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.",,,,"Answer must be just one letter. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2562,"During 2023, imagine if the Fee with ID 384 was only applied to account type F, which merchants would have been affected by this change?",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2484,In the year 2023 what delta would Crossfit_Hanna pay if the relative fee of the fee with ID=398 changed to 99?,,,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1749,What are the total fees (in euros) that Martinis_Fine_Steakhouse paid in 2023?,,,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
23,What is the fraud rate for in-person transactions for the year 2023?,,,,"Answer must be just a number. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
2575,"During 2023, imagine if the Fee with ID 787 was only applied to account type S, which merchants would have been affected by this change?",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1287,"For credit transactions, what would be the average fee that the card scheme SwiftCharge would charge for a transaction value of 500 EUR?",,,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1455,"For a credit transaction of 1000 euros on GlobalCard, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.",,,,"Answer must be just one letter. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1789,What were the applicable Fee IDs for Martinis_Fine_Steakhouse in March 2023?,,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2767,"Looking at the year 2023 and at the merchant Belles_cookbook_store, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing shoppers to use a different payment interactions, what would be the preferred choice considering the lowest possible fees?",,,,"Answer must be just the selected ACI to incentive and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2554,"During 2023, imagine if the Fee with ID 64 was only applied to account type D, which merchants would have been affected by this change?",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
617,What is the average transaction value grouped by device_type for Rafa_AI's SwiftCharge transactions between May and June 2023?,,,,"Present your results broken down by grouping and sorted in ascending order. The final answer should be a list of this format: [grouping_i: amount_i, ]. When grouping by country use the country_code. The elements of the list are sorted in ascending order by the amount. All amounts should be rounded to 2 decimal places.. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2674,"Looking at the month of October, to which card scheme should the merchant Martinis_Fine_Steakhouse steer traffic in order to pay the minimum fees?",,,,"Answer must be just the selected card scheme and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1470,What is the fee ID or IDs that apply to account_type = D and aci = A?,,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1729,"For the 10th of the year 2023, what is the total fees (in euros) that Martinis_Fine_Steakhouse should pay?",,,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2712,"For Belles_cookbook_store in April, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?",,,,"Answer must be just the selected ACI to incentive and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
178,What is the average transaction value grouped by ip_country for Belles_cookbook_store's SwiftCharge transactions between June and October 2023?,,,,"Present your results broken down by grouping and sorted in ascending order. The final answer should be a list of this format: [grouping_i: amount_i, ]. When grouping by country use the country_code. The elements of the list are sorted in ascending order by the amount. All amounts should be rounded to 2 decimal places.. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2509,In the year 2023 what delta would Martinis_Fine_Steakhouse pay if the relative fee of the fee with ID=280 changed to 1?,,,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1722,"For the 365th of the year 2023, what is the total fees (in euros) that Crossfit_Hanna should pay?",,,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2528,"Imagine the merchant Belles_cookbook_store had changed its MCC code to 8062 before 2023 started, what amount delta will it have to pay in fees for the year 2023?",,,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
38,What percentage of transactions came from the top 2 merchants in amount volume?,,,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
2496,In the year 2023 what delta would Golfclub_Baron_Friso pay if the relative fee of the fee with ID=709 changed to 99?,,,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2558,"During 2023, imagine if the Fee with ID 64 was only applied to account type O, which merchants would have been affected by this change?",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
59,What are the top 3 countries (ip_country) by avg transaction value for Crossfit_Hanna's NexPay transactions in the last quarter of 2023?,,,,"Answer must be a comma separated list of country codes. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1452,"For a credit transaction of 100 euros on NexPay, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.",,,,"Answer must be just one letter. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1570,"For account type D, what would be the average fee that the card scheme NexPay would charge for a transaction value of 1000 EUR? Provide the answer in EUR and 6 decimals.",,,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1753,What were the applicable Fee IDs for Belles_cookbook_store in March 2023?,,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
25,How many outliers are there in the transaction amount data (using Z-Score > 3)?,,,,"Answer must be just a number. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1497,What is the fee ID or IDs that apply to account_type = S and aci = G?,,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1435,"What is the most expensive MCC for a transaction of 10 euros, in general? If there are many MCCs with the same value, list all of them. Provide a list as an output even if it is one element.",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2555,"During 2023, imagine if the Fee with ID 64 was only applied to account type H, which merchants would have been affected by this change?",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1305,"For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals",,,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1732,"For the 200th of the year 2023, what is the total fees (in euros) that Martinis_Fine_Steakhouse should pay?",,,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1509,"In the average scenario, which card scheme would provide the cheapest fee for a transaction value of 100 EUR?",,,,"Answer must be just the name of the card scheme. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2573,"During 2023, imagine if the Fee with ID 787 was only applied to account type H, which merchants would have been affected by this change?",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2552,"Imagine the merchant Rafa_AI had changed its MCC code to 7523 before 2023 started, what amount delta will it have to pay in fees for the year 2023?",,,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1,How many total transactions are there in the dataset?,,,,"Answer must be just a number. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1853,What are the total fees (in euros) that Martinis_Fine_Steakhouse paid in July 2023?,,,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1520,"In the average scenario, which card scheme would provide the most expensive fee for a transaction value of 4321 EUR?",,,,"Answer must be just the name of the card scheme. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2583,"Looking at the month of January, to which card scheme should the merchant Martinis_Fine_Steakhouse steer traffic in order to pay the maximum fees?",,,,"Answer must be just the selected card scheme and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2571,"During 2023, imagine if the Fee with ID 787 was only applied to account type R, which merchants would have been affected by this change?",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1674,"For account type S, what would be the average fee that the card scheme NexPay would charge for a transaction value of 1234 EUR? Provide the answer in EUR and 6 decimals.",,,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
10,How many unique merchants are present in the dataset?,,,,"Answer must be just a number of unique merchants. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1846,What are the total fees (in euros) that Golfclub_Baron_Friso paid in December 2023?,,,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
50,Are credit payments more likely to result in a fraudulent dispute compared to debit card payments?,,,,"Answer must be just either yes or no. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1745,What are the applicable fee IDs for Rafa_AI in 2023?,,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
70,Is Martinis_Fine_Steakhouse in danger of getting a high-fraud rate fine?,,,,"Answer must be just either yes or no. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1486,What is the fee ID or IDs that apply to account_type = F and aci = C?,,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1281,"For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 100 EUR?",,,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2539,"Imagine the merchant Golfclub_Baron_Friso had changed its MCC code to 5411 before 2023 started, what amount delta will it have to pay in fees for the year 2023?",,,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2419,In July 2023 what delta would Rafa_AI pay if the relative fee of the fee with ID=276 changed to 1?,,,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
19,What is the highest avg fraud rate for the year 2023? (by card_scheme),,,,"Answer must be just a number expressed as a percentage rounded to 6 decimal places. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1705,"For the 10th of the year 2023, what are the Fee IDs applicable to Rafa_AI?",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1366,"For account type H and the MCC description: Drinking Places (Alcoholic Beverages) - Bars, Taverns, Nightclubs, Cocktail Lounges, and Discotheques, what would be the average fee that the card scheme NexPay would charge for a transaction value of 4321 EUR? Provide the answer in EUR and 6 decimals",,,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
44,What percentage of shoppers are repeat customers (based on email addresses)?,,,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
1694,"For the 12th of the year 2023, what are the Fee IDs applicable to Golfclub_Baron_Friso?",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1771,What were the applicable Fee IDs for Crossfit_Hanna in September 2023?,,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1636,"For account type F, what would be the average fee that the card scheme TransactPlus would charge for a transaction value of 1000 EUR? Provide the answer in EUR and 6 decimals.",,,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2494,In the year 2023 what delta would Golfclub_Baron_Friso pay if the relative fee of the fee with ID=64 changed to 99?,,,,"Answer must be just a number rounded to 14 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2758,"Looking at the year 2023, to which card scheme should the merchant Belles_cookbook_store steer traffic to in order to pay the minimum fees?",,,,"Answer must be just the selected card scheme and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
402,What is the average transaction value grouped by issuing_country for Golfclub_Baron_Friso's SwiftCharge transactions between November and December 2023?,,,,"Present your results broken down by grouping and sorted in ascending order. The final answer should be a list of this format: [grouping_i: amount_i, ]. When grouping by country use the country_code. The elements of the list are sorted in ascending order by the amount. All amounts should be rounded to 2 decimal places.. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1457,"For a credit transaction of 1000 euros on SwiftCharge, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.",,,,"Answer must be just one letter. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1444,"For a credit transaction of 1 euros on NexPay, what would be the most expensive Authorization Characteristics Indicator (ACI)? In the case of a draw between multiple ACIs, return the ACI with the lowest alphabetical order. Provide the response in a list even if there is only one value.",,,,"Answer must be just one letter. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1441,"What is the most expensive MCC for a transaction of 10000 euros, in general? If there are many MCCs with the same value, list all of them. Provide a list as an output even if it is one element.",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1734,"For the 365th of the year 2023, what is the total fees (in euros) that Martinis_Fine_Steakhouse should pay?",,,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2766,"Looking at the year 2023, to which card scheme should the merchant Rafa_AI steer traffic to in order to pay the minimum fees?",,,,"Answer must be just the selected card scheme and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
